渝中区污水溢流整治项目 - 招标文件 vs 主合同冲突分析表
编制时间：2026-03-31,,,,,
,,,,,
序号,冲突事项,招标文件,主合同,风险等级,影响金额,处理建议,责任人,截止时间
C01,合同价格形式,单价合同,单价合同,低,0,一致，无冲突,-,-
C02,签约合同价,"招标控制价¥118,074,209.80","¥115,118,888.39",中,"2,955,321.41",投标让利 2.5%，正常,-,-
C03,暂估价金额,"¥5,595,278.72(清单)","¥3,735,278.72",高,"1,860,000.00",需立即澄清,商务经理,7 天内
C04,工程量清单版本,清单 3(2024-04-29),未明确,高,不确定,需补充协议,项目经理,3 天内
C05,安全文明施工费,"¥2,668,669.00","¥2,668,669.00",低,0,一致,-,-
C06,进度款支付比例,60%,60%,低,0,一致,-,-
C07,工期,420 日历天,420 日历天,低,0,一致,-,-
C08,质量标准,合格,合格,低,0,一致,-,-
C09,暂列金额,"¥50,000.00","¥50,000.00",低,0,一致,-,-
C10,价格调整机制,造价信息调整,造价信息调整,低,0,一致,-,-
