序号,项目编码,项目名称,清单 1 特征摘要,清单 2 特征摘要,清单 3 特征摘要,关键差异,风险提示,建议
1,041001002002,透水砖人行道路,1.饰面材料种类及厚度:透 水砖人行道路面 2.拆除厚度:综合考虑 3.拆除方式:综合考虑 4.场内运距:综合考虑 5.其他:满足设计及规范要 求,1.饰面材料种类及厚度:透 水砖人行道路面 2.拆除厚度:综合考虑 3.拆除方式:综合考虑 4.场内运距:综合考虑 5.其他:满足设计及规范要 求,1.饰面材料种类及厚度:透 水砖人行道路面 2.拆除厚度:24cm 3.拆除方式:综合考虑 4.其他:满足设计及规范要 求,清单 3 明确厚度 24cm,清单 1&2 可能产生厚度争议,明确按 24cm 执行
2,041001006003,拆除原有,1.材质:砼管道 2.管径:DN500 3.其他:满足设计及规范要 求 4.拆除方式:综合考虑 5.场内运距:综合考虑,1.材质:砼管道 2.管径:DN500 3.其他:满足设计及规范要 求 4.拆除方式:综合考虑 5.场内运距:综合考虑,1.材质:砼管道 2.管径:DN500 3.其他:满足设计及规范要 求,清单 3 明确管径规格,清单 1&2 可能产生管径争议,明确按清单 3 管径执行
3,041001006005,拆除DN400塑料,1.材质:塑料 2.管径:DN400 3.其他:满足设计及规范要 求 4.拆除方式:综合考虑 5.场内运距:综合考虑,1.材质:塑料 2.管径:DN400 3.其他:满足设计及规范要 求 4.拆除方式:综合考虑 5.场内运距:综合考虑,1.材质:塑料 2.管径:DN400 3.其他:满足设计及规范要 求,清单 3 明确管径规格,清单 1&2 可能产生管径争议,明确按清单 3 管径执行
4,041001006009,拆除原有,1.材质:砼管道 2.管径:DN400 3.其他:满足设计及规范要 求 4.拆除方式:综合考虑 5.场内运距:综合考虑,1.材质:砼管道 2.管径:DN400 3.其他:满足设计及规范要 求 4.拆除方式:综合考虑 5.场内运距:综合考虑,1.材质:砼管道 2.管径:DN300 3.其他:满足设计及规范要 求,清单 3 明确管径规格,清单 1&2 可能产生管径争议,明确按清单 3 管径执行
5,041001002001,透水砖人行道路,1.饰面材料种类及厚度:透 水砖人行道路面（含结合层 拆除） 2.拆除厚度:综合考虑 3.拆除方式:综合考虑 4.场内运距:综合考虑 5.其他:满足设计及规范要,1.饰面材料种类及厚度:透 水砖人行道路面（含结合层 拆除） 2.拆除厚度:综合考虑 3.拆除方式:综合考虑 4.场内运距:综合考虑 5.其他:满足设计及规范要,1.饰面材料种类及厚度:透 水砖人行道路面 2.拆除厚度:24cm 3.拆除方式:综合考虑 4.其他:满足设计及规范要 求,清单 3 明确厚度 24cm,清单 1&2 可能产生厚度争议,明确按 24cm 执行
6,041001006001,拆除原有,1.材质:砼管道 2.管径:DN300 3.其他:满足设计及规范要 求 4.拆除方式:综合考虑 5.场内运距:综合考虑,1.材质:砼管道 2.管径:DN300 3.其他:满足设计及规范要 求 4.拆除方式:综合考虑 5.场内运距:综合考虑,1.材质:砼管道 2.管径:DN300 3.其他:满足设计及规范要 求,清单 3 明确管径规格,清单 1&2 可能产生管径争议,明确按清单 3 管径执行
7,040204002002,人行道透水砖路,1.块料品种:6cm厚透水砖 2.块料规格、颜色:同现状 3.其他:满足设计及规范要 求,1.块料品种:6cm厚透水砖 2.块料规格、颜色:同现状 3.其他:满足设计及规范要 求,1.路床:夯实土基 2.块料品种、规格:6cm厚透 水砖 3.基础、垫层：材料品种、 厚度:防渗土工布、150mm厚 级配碎石，150mm厚C20透水 混凝土，,清单 3 详细描述材料规格,清单 1&2'同现状'可能产生歧义,采用清单 3 详细描述
8,040101002002,挖沟槽土石方,1.土石类别:综合考虑 2.挖土石深度:综合考虑 3.开挖方式:综合考虑 4.场内及运至装车点运距 :投标人根据现场情况自行 考虑 5.其他:满足设计及规范要 ,1.土石类别:综合考虑 2.挖土石深度:综合考虑 3.开挖方式:综合考虑 4.场内及运至装车点运距 :投标人根据现场情况自行 考虑 5.其他:满足设计及规范要 ,1.土石类别:综合考虑 2.挖土石深度:综合考虑 3.开挖方式:人工开挖 4.场内及运至装车点运距 :投标人根据现场情况自行 考虑 5.其他:满足设计及规范要 ,特征描述详略不同,结算时可能产生争议,统一特征描述
9,040101002003,挖沟槽土石方,1.土石类别:综合考虑 2.挖土深度:综合考虑 3.开挖方式:综合考虑 4.场内及运至装车点运距 :投标人根据现场情况自行 考虑 5.5.其他:满足设计及规范 ,1.土石类别:综合考虑 2.挖土深度:综合考虑 3.开挖方式:综合考虑 4.场内及运至装车点运距 :投标人根据现场情况自行 考虑 5.5.其他:满足设计及规范 ,1.土石类别:综合考虑 2.挖土石深度:综合考虑 3.开挖方式:人工开挖 4.场内及运至装车点运距 :投标人根据现场情况自行 考虑 5.其他:满足设计及规范要 ,特征描述详略不同,结算时可能产生争议,统一特征描述
10,040504009003,雨水口清掏,1.雨水口规格，堵塞程度 :结合现场综合考虑 2.装袋:含装袋综合考虑 3.其他:满足设计及规范要 求 1.废弃料品种:淤泥（吸污 车运输） 2.运距:综合考虑,1.雨水口规格，堵塞程度 :结合现场综合考虑 2.装袋:含装袋综合考虑 3.其他:满足设计及规范要 求 1.废弃料品种:淤泥（吸污 车运输） 2.运距:综合考虑,1.雨水口规格，堵塞程度 :结合现场综合考虑 2.装袋:含装袋综合考虑 3.其他:满足设计及规范要 求,特征描述详略不同,结算时可能产生争议,统一特征描述
11,040103001005,中粗砂回填,1.材料品种、规格:机制砂 2.密实度要求:满足设计及 规范要求 3.厚度:满足设计及规范要 求 4.其他:满足设计及规范要 求,1.材料品种、规格:机制砂 2.密实度要求:满足设计及 规范要求 3.厚度:满足设计及规范要 求 4.其他:满足设计及规范要 求,1.材料品种、规格:机制砂 2.厚度:满足设计及规范要 求 3.其他:满足设计及规范要 求 4.密实度要求:满足设计及 规范要求,特征描述详略不同,结算时可能产生争议,统一特征描述
12,041001006004,拆除DN300塑料,1.材质:塑料 2.管径:DN300 3.其他:满足设计及规范要 求 4.拆除方式:综合考虑 5.场内运距:综合考虑,1.材质:塑料 2.管径:DN300 3.其他:满足设计及规范要 求 4.拆除方式:综合考虑 5.场内运距:综合考虑,1.材质:塑料 2.管径:DN300 3.其他:满足设计及规范要 求,清单 3 明确管径规格,清单 1&2 可能产生管径争议,明确按清单 3 管径执行
13,040103001007,沟槽土石方回填,1.密实度要求:满足设计及 规范要求 2.填方材料品种:满足设计 及规范要求 3.填方粒径要求:满足设计 及规范要求 4.填方来源、运距:综合考 虑,1.密实度要求:满足设计及 规范要求 2.填方材料品种:满足设计 及规范要求 3.填方粒径要求:满足设计 及规范要求 4.填方来源、运距:综合考 虑,1.密实度要求:满足设计及 规范要求 2.填方材料品种:满足设计 及规范要求 3.填方粒径要求:满足设计 及规范要求 4.填方来源、运距:综合考 虑 5.其他:,特征描述详略不同,结算时可能产生争议,统一特征描述
14,040101002001,挖沟槽土石方,1.土石类别:综合考虑 2.挖土石深度:综合考虑 3.开挖方式:综合考虑 4.场内及运至装车点运距 :投标人根据现场情况自行 考虑 5.其他:满足设计及规范要 ,1.土石类别:综合考虑 2.挖土石深度:综合考虑 3.开挖方式:综合考虑 4.场内及运至装车点运距 :投标人根据现场情况自行 考虑 5.其他:满足设计及规范要 ,1.土石类别:综合考虑 2.挖土石深度:综合考虑 3.开挖方式:人工开挖 4.场内及运至装车点运距 :投标人根据现场情况自行 考虑 5.其他:满足设计及规范要 ,特征描述详略不同,结算时可能产生争议,统一特征描述
15,041001006006,拆除DN500塑料,1.材质:塑料 2.管径:DN500 3.其他:满足设计及规范要 求 4.拆除方式:综合考虑 5.场内运距:综合考虑,1.材质:塑料 2.管径:DN500 3.其他:满足设计及规范要 求 4.拆除方式:综合考虑 5.场内运距:综合考虑,1.材质:塑料 2.管径:DN500 3.其他:满足设计及规范要 求,清单 3 明确管径规格,清单 1&2 可能产生管径争议,明确按清单 3 管径执行
16,040204002001,人行道透水砖路,1.块料品种:6cm厚透水砖 2.块料规格、颜色:同现状 3.其他:满足设计及规范要 求,1.块料品种:6cm厚透水砖 2.块料规格、颜色:同现状 3.其他:满足设计及规范要 求,1.路床:夯实土基 2.块料品种、规格:6cm厚透 水砖 3.基础、垫层：材料品种、 厚度:防渗土工布、150mm厚 级配碎石，150mm厚C20透水 混凝土，,清单 3 详细描述材料规格,清单 1&2'同现状'可能产生歧义,采用清单 3 详细描述
