渝中区污水溢流整治项目 - 合同文件汇总表
编制时间：2026-03-31,,,,
,,,,
一、项目基本信息,,,,
项目名称,渝中区污水溢流突出问题整治项目 (一期) 及大坪街道片区排水管网建设与改造工程 (三期),,,
发包人,重庆市渝中城市建设投资有限公司,,,
承包人,重庆城建控股 (集团) 有限责任公司,,,
签约合同价,"115,118,888.39",元,,
招标控制价,"118,074,209.80",元,,
投标让利,"2,955,321.41",元,让利率 2.5%,
合同工期,420,日历天,,
合同形式,单价合同,,,
质量标准,合格,,,
,,,,
二、合同文件清单,,,,
序号,文件名称,页数,编制时间,状态
F01,项目主合同,142,2024-05-10,✅ 已分析
F02,工程量清单 (1),4389,2024-05-10,✅ 已分析
F03,工程量清单 (2),4389,2024-05-10,✅ 已分析 (与 F02 相同)
F04,工程量清单 (3),3598,2024-04-29,✅ 已分析
F05,一期补充协议,3,2026-02-25,⚠️ 扫描版 (需 OCR)
,,,,
三、价格构成分析,,,,
项目,金额 (元),占比,说明,
签约合同价,"115,118,888.39",100.0%,,
分部分项工程费,"109,513,662.08",95.1%,58 个子项目,
安全文明施工费,"2,668,669.00",2.3%,不可竞争,
专业工程暂估价,"3,735,278.72",3.2%,需招标,
暂列金额,"50,000.00",0.04%,,
规费,"2,866,934.72",2.5%,不可竞争,
,,,,
四、重大风险事项,,,,
编号,风险事项,风险等级,影响金额,建议措施
R01,工程量清单版本不明确,高,不确定,签订补充协议明确以清单 3 为准
R02,暂估价金额差异,高,"1,860,000.00",澄清暂估价项目范围
R03,进度款支付比例仅 60%,中,现金流压力,编制现金流计划
R04,需垫付 3 个月农民工工资,中,"约 5,000,000.00",与银行协商专户融资方案
,,,,
五、降本增效机会,,,,
策略,预计收益 (万元),实施难度,优先级,责任人
优化施工组织设计,200-500,中,P0,技术负责人
价格调整机制,100-300,低,P0,商务经理
变更签证管理,100-200,中,P0,商务经理
暂估价项目优化,50-100,中,P1,采购经理
措施费优化,50-80,低,P1,技术负责人
现金流优化,30-50,低,P1,财务经理
合计,580-1306,-,-,-
